@BTSChartDaily,@jimmyfallon,37
@997DJX,@FallonTonight,18
@997DJX,@BTS_Billboard,2
@BangBangtan_Esp,#BTSWEEK,118
@BangBangtan_Esp,@BTS_twt,2749
@jimmyfallon,#BTSWEEK,387
@jimmyfallon,@allforarmy,313
@jimmyfallon,@FallonTonight,671
@jimmyfallon,@BTS_twt,94
@BTS_twt,@allforarmy,28
@BTS_twt,@BTS_Billboard,1302
@BTS_twt,#BTSWEEK,10523
@BTS_twt,@FallonTonight,13023
@BTS_twt,@ARMYPeru_twt_,5617
@BTS_Billboard,#BTSWEEK,177
#BTSWEEK,@allforarmy,320
#BTSWEEK,@FallonTonight,12835
#BTSWEEK,@ARMYPeru_twt_,130
@FallonTonight,@allforarmy,633
