#COVID19,1.0
#TrumpCovid,0.5588235294117647
#Trump,0.5
#TrumpHasCovid,0.4411764705882353
#DonaldTrump,0.4117647058823529
#fridaymorning,0.3529411764705882
#coronavirus,0.3235294117647059
#OurHavenBangChan,0.3235294117647059
#Inktober,0.29411764705882354
#HopeHicks,0.29411764705882354
#GlazersOutWoodwardOut,0.29411764705882354
#WhiteHouse,0.29411764705882354
#WoodwardOut,0.2647058823529412
#Melania,0.2647058823529412
#\u0627\u0644\u0633\u064a\u0633\u064a_\u0639\u062f\u0648_\u0627\u0644\u0644\u0647,0.2647058823529412
#POTUS,0.23529411764705882
#Rona,0.23529411764705882
#FirstLady,0.20588235294117646
#Praying,0.20588235294117646
#WearAMask,0.20588235294117646
#TrumpHasCorona,0.1764705882352941
#WearADamnMask,0.1764705882352941
#MAGA,0.14705882352941177
#TrumpVirusDeathToll210K,0.08823529411764705
#pandemic,0.08823529411764705
#FakeNewsMedia,0.08823529411764705
#SocialDistancing,0.058823529411764705
#SARSCoV2,0.058823529411764705
#IMA,0.058823529411764705
#Doctors,0.058823529411764705
#BREAKING,0.058823529411764705
#Coronavirus,0.058823529411764705
#delirium,0.029411764705882353
#Disease,0.029411764705882353
#Niederlande,0.029411764705882353
